Retrieving speedtest.net configuration...
 6657) SymBios Creations Pvt. Ltd. (Dimapur, India) [1528.49 km]
 9096) Banglalink (Dhaka, Bangladesh) [1536.05 km]
10424) Grameenphone Ltd (Dhaka, Bangladesh) [1536.05 km]
 4406) Ollo Wireless Internet (Dhaka, Bangladesh) [1536.05 km]
11928) Banglalion Communications Ltd. (Dhaka, Bangladesh) [1536.05 km]
 3366) Aamra Technologies Limited (Dhaka, Bangladesh) [1536.05 km]
 7327) PING (Dhaka, Bangladesh) [1536.05 km]
 6321) Race Online (Dhaka, Bangladesh) [1536.05 km]
 6407) Robi Axiata Limited (Dhaka, Bangladesh) [1536.05 km]
 5020) Teletalk Bangladesh Ltd (Dhaka, Bangladesh) [1536.05 km]
 7147) Skytel Communication Ltd (Dhaka, Bangladesh) [1536.05 km]
 3458) Next Online Ltd. (Dhaka, Bangladesh) [1536.05 km]
16861) Delta Infocom Ltd. (Dhaka, BD) [1536.05 km]
 4588) Level3 Carrier Limited (Dhaka, Bangladesh) [1536.05 km]
18244) PEEREX NETWORKS (Dhaka, Bangladesh) [1536.05 km]
18028) Bangla Phone Limited (Dhaka, BD) [1536.05 km]
15718) Doze Internet (Dhaka, Bangladesh) [1536.05 km]
 7810) ADN Telecom Ltd. (Dhaka, Bangladesh) [1536.05 km]
 4773) Augere Wireless Broadband Bangladesh Ltd. (Dhaka, Bangladesh) [1536.05 km]
13242) Business Network (Dhaka, Bangladesh) [1536.05 km]
12204) InfoLink (Dhaka, Bangladesh) [1536.05 km]
11654) NETSCOPE (Narsingdi, Bangladesh) [1540.96 km]
13632) MetroNet Bangladesh Ltd (Dhaka, Bangladesh) [1541.38 km]
14414) Bangla Trac Communications Ltd. (Dhaka, Bangladesh) [1541.38 km]
14367) Inspire Broadband (Dhaka, Bangladesh) [1541.38 km]
16398) China Mobile,GuiZhou (Guiyang, China) [1576.06 km]
13737) ShreeNortheast Connect & Services P. Ltd (Hojai, India) [1580.60 km]
13634) ShreeNortheast Connect & Services P. Ltd (Jorhat, India) [1589.02 km]
17816) HUSTEL TELECOM PVT. LTD. (Haldia, IN) [1605.36 km]
 4064) Vodafone India (Kolkata, India) [1611.63 km]
 8489) Hathway Cable & Datacom Ltd (Kolkata, India) [1611.63 km]
 8126) Indinet Service Private Limited (Kolkata, India) [1611.63 km]
16254) WISH NET PRIVATE LIMITED (Kolkata, India) [1611.63 km]
16235) GTPLKCBPL Broadband Pvt. Ltd. (Kolkata, India) [1611.63 km]
15697) RailTel Corporation of India Limited (Kolkata, India) [1611.63 km]
10101) Jio (Kolkata, India) [1611.63 km]
14314) Meghbela Cable & Broadband Services Pvt. Ltd. (Kolkata, India) [1612.24 km]
14351) Get Network Broadband Service (Kolkata, India) [1612.24 km]
13698) ShreeNortheast Connect & Services P. Ltd (Tinsukia, India) [1621.73 km]
13696) ShreeNortheast Connect & Services P. Ltd (Nagaon, India) [1621.80 km]
13872) IKF POWERNET (Barrackpore, India) [1622.94 km]
13680) ShreeNortheast Connect & Services P. Ltd (Dibrugarh, India) [1635.02 km]
13695) ShreeNortheast Connect & Services P. Ltd (North Lakhimpur, India) [1641.30 km]
13691) ShreeNortheast Connect & Services P. Ltd (Tezpur, India) [1645.47 km]
18686) SiqesNet (Guwahati, India) [1654.83 km]
19004) ShreeNortheast Connect & Services (P) Ltd. (Guwahati, India) [1654.83 km]
11944) OPTINET COMMUNICATION (Belda, India) [1669.19 km]
 6894) SPEEDTEST-MO (Macau, Macau) [1674.68 km]
 1849) CTM Internet Services (Macau, Macau) [1674.68 km]
14791) MTel (Macau, Macau) [1675.41 km]
 9090) JetSpot Networks (Balasore, India) [1689.95 km]
17251) ChinaTelecom-GZ (Guangzhou, CN) [1708.38 km]
 6611) China Mobile,Guangdong (Guangzhou, China) [1708.38 km]
13736) ShreeNortheast Connect & Services P. Ltd (Barpeta, India) [1714.96 km]
 7356) JetSpot Networks (Bhubaneswar, India) [1715.74 km]
 7603) WEFE Broadband (Bhubaneswar, India) [1715.74 km]
 7912) Ortel Communications Ltd (Bhubaneswar, India) [1715.74 km]
13033) JETSPOT NETWORKS (Cuttack, India) [1720.06 km]
10267) Interoute VDC (Hong Kong, China) [1731.70 km]
 1536) STC (Hong Kong, China) [1731.70 km]
19036) SmarTone (Hong Kong, China) [1731.70 km]
 2993) Website Solution Limited (Hong Kong, China) [1731.70 km]
12990) QTS Data Centers (Hong Kong, China) [1731.70 km]
 8170) Atombase Global Datamation (Hong Kong, China) [1731.70 km]
 5527) Celcom Axiata (Kuching, Malaysia) [1734.28 km]
 8820) DANAWA Resources Sdn. Bhd. (Kuching, Malaysia) [1734.28 km]
14429) W Professional Services Limited (New Territories, Hong Kong) [1734.82 km]
13538) CSL (Kwai Chung, Hong Kong) [1735.21 km]
17130) Telin (Hong kong, Hong Kong) [1737.50 km]
14903) CSL (Tai Po, Hong Kong) [1742.68 km]
 5081) ShenZhen Telecom (Shenzhen, China) [1745.19 km]
16698) ShreeNortheast Connect & Services (P) Ltd (Dhubri, IN) [1764.81 km]
11464) Celcom Axiata (Miri, Malaysia) [1809.12 km]
 3471) DST Communications Sdn. Bhd. (Tungku, Brunei) [1856.26 km]
11005) GALAXYNET CONNECTIONS PVT LTD. (Siliguri, India) [1859.04 km]
17520) Siliguri Internet & Cable TV Pvt. Ltd. (Siliguri, IN) [1859.04 km]
 1618) TelBru (Bandar Seri Begawan, Brunei) [1866.15 km]
 9376) Progresif Cellular Sdn Bhd (Bandar Seri Begawan, Brunei) [1866.15 km]
19076) China Telecom (ChongQing, China) [1871.18 km]
 5530) CCN (Chongqing, China) [1871.18 km]
 5726) China Unicom Chong Qing Branch (Chongqing, China) [1871.18 km]
17584) Chongqing Mobile Company (Chongqing, CN) [1871.18 km]
 6451) YOU Broadband India Pvt Ltd. (Vishakapatnam, India) [1896.62 km]
 7895) ACT Fibernet (Visakhapatnam, India) [1896.62 km]
 8957) City Online Services Limited (Visakhapatnam, India) [1896.62 km]
 8787) APFiber (Visakhapatnam, India) [1896.62 km]
 5991) VBC Fiber (Visakhapatnam, India) [1896.62 km]
 4723) Tashi InfoComm Ltd (Thimphu, Bhutan) [1896.99 km]
14901) Bhutan Telecom Limited (Thimphu, Bhutan) [1897.67 km]
 8213) AIRMAX (Rourkela, India) [1902.38 km]
18463) Airtechzone Services India Pvt Ltd (Purnea, India) [1906.89 km]
13933) IKF POWERNET (Siliguri, India) [1915.48 km]
 5808) Celcom Timur (Sabah) Sdn. Bhd. (Kota Kinabalu, Malaysia) [1915.85 km]
 5532) Celcom Axiata (Kota Kinabalu, Malaysia) [1915.85 km]
 8934) i-Skill Dynamics Sdn Bhd (Kota Kinabalu, Malaysia) [1915.85 km]
 7585) PT. Telekomunikasi Indonesia (Palembang, Indonesia) [1916.52 km]
13901) Hutchison 3 Indonesia PLM (Palembang, Indonesia) [1916.52 km]
17073) Protoact Digital Network Pvt Ltd (Ranchi, IN) [1920.59 km]
 4575) China Mobile Group Sichuan (Chengdu, China) [1920.66 km]
 2461) China Unicom (Chengdu, China) [1920.66 km]
11444) University of Electronic Science and Technology of China (Chengdu, China) [1920.66 km]
 4624) ChinaTelecom (Chengdu, China) [1920.66 km]
 6647) K-Net (Jharsuguda, India) [1958.59 km]
 9047) Netone Solutions (Koraput, India) [1974.88 km]
 9897) Blu Ultraband Internet Service (Kakinada, India) [1985.39 km]
 8660) Excell Media (Kakinada, India) [1985.39 km]
 8939) City Online Services Limited (Kakinada, India) [1985.39 km]
14932) AIR VOICE DIGITAL NETWORK (Nawada, India) [1996.49 km]
